SCHEMA_NAME;TABLE_NAME;SIZE_DISK_MB;PART;PART_DEF;SUBPART;SUBPART_DEF;HOST;LOADED;SIZE_MEM_MB;RECORDS
SAPABAP1;ACDOCA;   450425.95;   1;RANGE FISCYEARPER 2017000-2018000;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     152.49;    5514060
SAPABAP1;ACDOCA;   450425.95;   2;RANGE FISCYEARPER 2018000-2019000;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    1629.87;   79516848
SAPABAP1;ACDOCA;   450425.95;   3;RANGE FISCYEARPER 2019000-2019001;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     131.59;    3735912
SAPABAP1;ACDOCA;   450425.95;   4;RANGE FISCYEARPER 2019001-2019004;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   12098.67;  661093556
SAPABAP1;ACDOCA;   450425.95;   5;RANGE FISCYEARPER 2019004-2019007;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   11617.27;  635004735
SAPABAP1;ACDOCA;   450425.95;   6;RANGE FISCYEARPER 2019007-2019010;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   12645.18;  692225191
SAPABAP1;ACDOCA;   450425.95;   7;RANGE FISCYEARPER 2019010-2019013;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   12327.22;  712265536
SAPABAP1;ACDOCA;   450425.95;   8;RANGE FISCYEARPER 2019013-2020000;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   21592.08;  936689678
SAPABAP1;ACDOCA;   450425.95;   9;RANGE FISCYEARPER 2020000-2020001;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     121.61;    4634014
SAPABAP1;ACDOCA;   450425.95;  10;RANGE FISCYEARPER 2020001-2020004;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   26200.72;  721594136
SAPABAP1;ACDOCA;   450425.95;  11;RANGE FISCYEARPER 2020004-2020007;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   15049.17;  669034678
SAPABAP1;ACDOCA;   450425.95;  12;RANGE FISCYEARPER 2020007-2020010;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;   16142.29;  730528362
SAPABAP1;ACDOCA;   450425.95;  13;RANGE FISCYEARPER 2020010-2020011;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    4801.35;  236186292
SAPABAP1;ACDOCA;   450425.95;  14;RANGE FISCYEARPER 2020011-2020012;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    5414.77;  236014623
SAPABAP1;ACDOCA;   450425.95;  15;RANGE FISCYEARPER 2020012-2020013;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    5405.70;  247363480
SAPABAP1;ACDOCA;   450425.95;  16;RANGE FISCYEARPER 2020013-2020113;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    9538.60;  515237446
SAPABAP1;ACDOCA;   450425.95;  17;RANGE FISCYEARPER 2020113-2020213;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    9229.65;  495331663
SAPABAP1;ACDOCA;   450425.95;  18;RANGE FISCYEARPER 2020213-2020313;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    9297.85;  508881831
SAPABAP1;ACDOCA;   450425.95;  19;RANGE FISCYEARPER 2020313-2021000;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    5084.93;  284826339
SAPABAP1;ACDOCA;   450425.95;  20;RANGE FISCYEARPER 2021000-2021002;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    5251.06;  240282842
SAPABAP1;ACDOCA;   450425.95;  21;RANGE FISCYEARPER 2021002-2021003;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    4609.63;  216075912
SAPABAP1;ACDOCA;   450425.95;  22;RANGE FISCYEARPER 2021003-2021004;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    6252.69;  275974908
SAPABAP1;ACDOCA;   450425.95;  23;RANGE FISCYEARPER 2021004-2021005;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    5220.80;  242605905
SAPABAP1;ACDOCA;   450425.95;  24;RANGE FISCYEARPER 2021005-2021006;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    3367.05;  160008415
SAPABAP1;ACDOCA;   450425.95;  25;RANGE FISCYEARPER 2021006-2021007;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     123.55;    7115768
SAPABAP1;ACDOCA;   450425.95;  26;RANGE FISCYEARPER 2021007-2021008;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     124.88;    7184264
SAPABAP1;ACDOCA;   450425.95;  27;RANGE FISCYEARPER 2021008-2021009;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     123.91;    7002581
SAPABAP1;ACDOCA;   450425.95;  28;RANGE FISCYEARPER 2021009-2021010;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;      24.71;    1280062
SAPABAP1;ACDOCA;   450425.95;  29;RANGE FISCYEARPER 2021010-2021011;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;      15.28;     679962
SAPABAP1;ACDOCA;   450425.95;  30;RANGE FISCYEARPER 2021011-2021012;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     127.03;    7233236
SAPABAP1;ACDOCA;   450425.95;  31;RANGE FISCYEARPER 2021012-2021013;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;     123.45;    7143832
SAPABAP1;ACDOCA;   450425.95;  32;RANGE FISCYEARPER 2021013-2021113;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    9871.72;  539927520
SAPABAP1;ACDOCA;   450425.95;  33;RANGE FISCYEARPER 2021113-2021213;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;    2864.47;  160522390
SAPABAP1;ACDOCA;   450425.95;  34;RANGE FISCYEARPER 2021213-2021313;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;       1.75;          0
SAPABAP1;ACDOCA;   450425.95;  35;RANGE FISCYEARPER 2021313-2022000;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;       1.75;          0
SAPABAP1;ACDOCA;   450425.95;  36;RANGE FISCYEARPER ;      0; ;sg11scbh1rrd0.hec.standardchartered.com;PARTIALLY;       1.75;          0
