LINE_ID;OPERATOR_NAME;OPERATOR_DETAILS;OPERATOR_PROPERTIES;EXECUTION_ENGINE;TABLE_NAME;TABLE_TYPE;TABLE_GB;ESTIMATED_COSTS;ESTIMATED_ROWS;HOST;STATEMENT_NAME;LEVEL
      1;COLUMN SEARCH;STOPRINTQTY, V_MMIM_OM_PARAM.MATLDOCLATESTPOSTGDATE, V_MMIM_OM_PARAM.PRINTINGOFDOCUMENTITEM, V_MMIM_OM_BYPO.INDGOODSRECEIPTMESSAGE, V_MMIM_OM_PARAM.OPERATIONISPRINTED, V_MMIM_OM_PARAM.COMPANYCODE, V_MMIM_OM_PARAM.SUPPLIER, MA07V.LABELFORM, MA07V.LABELTYPE;RECOMPILED, LATE MATERIALIZATION, OLTP SEARCH, RANGE RESTRICTION ('CURRENT'), ENUM_BY: CS_JOIN;COLUMN;;;;       42.14699;             1;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   1
      2; LIMIT;                                                                                                                                                                                                                                                 NUM RECORDS: 1;                                                                 ENUM_BY: PRELIMIT_BEFORE_JOIN;COLUMN;;;;       42.14696;             1;;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   2
      3;  JOIN; T2.MATNR, (LEFT OUTER) DOCUMENT.WERKS = MA07V.WERKS, (INNER many-to-one) MATDOC.EBELN = EKKO.EBELN, (LEFT OUTER) DOCUMENT.MBLNR = V_MMIM_OM_BYPO.MBLNR, (LEFT OUTER) DOCUMENT.MJAHR = V_MMIM_OM_BYPO.MJAHR, (LEFT OUTER) DOCUMENT.ZEILE = V_MMIM_OM_BYPO.ZEILE;                                ENUM_BY: LIMIT_THRU_JOIN, AGGR_THRU_JOIN, PRELIMIT_BEFORE_JOIN;COLUMN;;;;       42.14696;             1;;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   3
      4;   COLUMN TABLE;                                                                                                                                                                                                                               FILTER CONDITION: T2.MANDT =  :1;;COLUMN;SAPS4D.MARC;COLUMN TABLE;        0.00;        0.00000;        452538;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   4
      5;   COLUMN TABLE;                                                                                                                                                                                                                            FILTER CONDITION: MA07V.MANDT =  :1;;COLUMN;SAPS4D.MARA;COLUMN TABLE;        0.00;        0.00000;         61835;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   4
      6;   COLUMN TABLE;                                                                                                                                                                                                                             FILTER CONDITION: EKKO.MANDT =  :1;;COLUMN;SAPS4D.EKKO;COLUMN TABLE;        0.00;        0.00000;        166027;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   4
      7;   COLUMN SEARCH;SLIPSTOPRINTQTY, V_MMIM_OM_PARAM.VERSIONFORPRINTINGSLIP, V_MMIM_OM_PARAM.INVENTORYTRANSACTIONTYPE, V_MMIM_OM_PARAM.CREATIONUSERNAME, V_MMIM_OM_PARAM.OPERATIONISPRINTED, V_MMIM_OM_PARAM.GOODSRECEIPTISMOVEDTOBLKDSTOCK, V_MMIM_OM_PARAM.PRINTINGOFDOCUMENTITEM;                                                                PARALLELIZED, ENUM_BY: CS_JOIN;COLUMN;;;;        0.00459;             1;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   4
      8;    LIMIT;                                                                                                                                                                                                                                                 NUM RECORDS: 1;                                                                      ENUM_BY: LIMIT_THRU_JOIN;COLUMN;;;;        0.00458;             1;;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   5
      9;     JOIN;                                                                                                                                                                                            JOIN CONDITION: (INNER many-to-one) DOCUMENT.BWART = PRINTIND.BWART;;COLUMN;;;;        0.00458;         22422;;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   6
     10;      COLUMN TABLE;                                                                     FILTER CONDITION: V_MMIM_OM_PARAM.SAPCLIENT =  :1  AND DOCUMENT.RECORD_TYPE = n'MDOC' AND CONCAT(RTRIM(DOCUMENT.MBLNR), RTRIM(CONCAT(RTRIM(DOCUMENT.MJAHR), RTRIM(DOCUMENT.ZEILE)))) =  :2;;COLUMN;SAPS4D.MATDOC;COLUMN TABLE;        0.02;        0.00000;         22422;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   7
     11;      COLUMN TABLE;                                                                                                                                                                                                                         FILTER CONDITION: PRINTIND.MANDT =  :1;;COLUMN;SAPS4D.T156;COLUMN TABLE;        0.00;        0.00000;           325;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   7
     12;   COLUMN SEARCH;                                                                                                                                                                                 V_MMIM_OM_BYPO.ZEILE, V_MMIM_OM_BYPO.MBLNR, V_MMIM_OM_BYPO.MJAHR, MATDOC.EBELN;                                                                PARALLELIZED, ENUM_BY: CS_JOIN;OLAP;;;;        2.84882;      21301346;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   4
     13;    AGGREGATION;                                                                                                                                                                             GROUPING: MATDOC.MBLNR, MATDOC.MJAHR, MATDOC.EBELN, AGGREGATION: MIN(MATDOC.ZEILE);                                                                       ENUM_BY: AGGR_THRU_JOIN;OLAP;;;;        2.61631;      21301346;;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   5
     14;     COLUMN TABLE;                                                                                                                                                                                    FILTER CONDITION: V_MMIM_OM_BYPO.MANDT = ?1 AND MATDOC.RECORD_TYPE = 'MDOC';;OLAP;SAPS4D.MATDOC;COLUMN TABLE;        0.02;        0.00000;      22422469;s4hd1prd;HotSpots_7e7a8751eb44e4b10d1380c2d2b22216;   6
